spp,ldmc,height,sla,resprouting,resprouting_notes,seedmass,seedmass_notes
ARDR,0.22,0.65,17,1,rhizomatous,0.055,
ARLU,0.316203625,0.291821875,17.67771008,1,,0.14,
ASHU,0.23,0.05,15,,,1.95,
BADI,0.1635,0.582380952,12.28888998,0,,0.383,
BOCU,0.405128803,0.308517241,18.36113461,1,10.2307/3896712,0.538,
BREU,0.287,0.895,14,,,0.67,
CAHU,0.2300001,0.0500001,15.000001,,,1.95,value from ASHU
CARO,0.376351755,0.222866667,14.91982256,1,,0.98,average of all carex spp on SID
CEFE,0.406585925,0.405172414,11.55950763,1,,3.016,
CHAL,0.187953854,0.904364865,24.23719088,0,,0.63,
CIWH,0.19,0.54,9,0,,12.802,
COAN,0.37,0.136,17.32139205,0,,6.856,
COCA,0.223791893,0.647842105,21.24782664,0,,0.06,
CRFE,0.53277587,0.3650001,7.39476728,,,0.37,
CRGR,0.532775855,0.365,7.394767273,0,,0.3700001,value from CRFE
DEPI,0.262,0.6,12.6,,,0.11,
ELEL,0.351700895,0.236241071,17.08838938,1,,5.203,
EPBR,0.180526418,0.286,20.92108081,,,0.372,
ERAL,0.2629,0.0686,8.284722935,,,7.079,
ERDI,0.19,0.14,18,0,,0.046,
ERNA,0.351,1.01,8.87,,,0.77,
ERNE,0.2175,0.155,16.25,0,,0.111,average of all Erigeron in Laughlin
ERRA,0.28825,0.0515,8.552129056,,,2.34,
ERSP,0.22,0.34,17,,,0.164,
ERspp,0.275575,0.06005,8.418425996,,,4.7095,average of all eriogonum
FEAR,0.334117923,0.264507246,13.5746778,1,,0.961,
GECA,0.24095,0.238181818,11.22079691,,,1.692,
HEMU,0.223564812,0.54805,15.08110011,0,,0.436,
HEOB,0.275,0.375,19.1,,,0.25,
HOWR,0.15215,0.03065,12.72250661,0,,0.439,
KOMA,0.43,0.12,11,,,0.11,
LACO,0.1700001,0.4300001,20.000001,,,0.029000001,value from LASC
LASC,0.17,0.43,20,,,0.029,
LASE,0.188274397,1.118166667,19.77614189,0,,0.58,
LIDA,0.200784375,0.607,14.5728792,1,,0.14,
LIIN,0.243,0.262,12.8,,,11.63,
LIMA,0.282,0.744,12,,,8.4145,average of all Lithospermum spp
LIMU,0.26,0.33,13,,,5.199,
LINE,0.245,0.285,12,,,1.191,average of all Linum in Laughlin
LOWR,0.215083171,0.265482759,11.1333062,0,,3.091,
LUAR,0.16,0.4,16,,,20.496,
MACA,0.2587,0.3745,11.05776417,0,,0.631,
MUMO,0.476716827,0.28715,15.54888494,1,,0.171,
MUST,0.480624642,0.431266667,13.61907412,1,,0.6068,
MUWR,0.4,0.35,15,1,,0.2,
OEEL,0.24,1.524,10.586,,,0.69,
OXLA,0.2491,0.168748571,10.18072926,,,3.536,
PAMU,0.1901,0.1382,13.98598995,,,0.419,
PEVI,0.24885,0.24525,9.587426838,,,0.893,
PHAN,0.2489554,0.2,25,,,7.6585,average of all legume species
PIPR,0.406016779,0.3470125,13.22886815,1,,4.34,average of all Piptochaetium spp on SID
POOL,0.04,0.01,17,,,0.122,
PSCO,0.3,0.23,9,,,0.271,Gutierrezia sarothrae from Laughlin
PSMA,0.312792996,0.59435,22.67433424,0,,0.044,
PSTE,0.2489554,0.512,9.27,,,20.64,
QUGA,0.479774973,0.498,10.46143089,1,,1086.697,
SATR,0.189128894,0.436775,9.324877633,0,,0.781,
SCSC,0.33,0.52,17,1,,1.438,
SOTR,0.261142396,0.36282123,14.59680929,,,1.04,
SOVE,0.32,0.36,12,,,0.171,
STPA,0.237556775,0.2,6.81,,,0.79,
STTE,0.23755679,0.2000001,6.8100001,,,0.7900001,value from STPA
TAOF,0.18,0.07,23,,,0.272,
TRRA,0.270134723,0.319,15.14930442,,,10.92,
VETH,0.214501174,0.1723,27.81503738,0,,0.082,
VIPU,0.288504852,0.727071429,14.54727327,,,10.022,